Diagnosed Diabetes Est. Percent,Unemployment Rate,Household Median Income,Perc_Adults_LessThanHS,Perc_Adults_HSOnly,Perc_Adults_AssociateSomeCollege,Perc_Adults_BAorHigher,Obesity_Prev_Percent,Leisure_Time_Physical_Inactivity_Perc,Median_Age
5.2,4.2,58499,5.195,19.305,32.501,42.998,16.8,12.9,38.5
5,4.3,66561,4.33,19.361,31.034,45.275,17.8,13.2,35.5
7.8,7.5,38224,14.237,29.566,37.249,18.948,23.2,24,44.6
7.2,4.1,42969,14.783,49.743,21.795,13.68,23.7,19.1,38.7
7.4,3.8,49407,10.658,34.228,38.399,16.716,28.9,22.7,37.1
6.5,6.2,49825,10.163,29.26,34.476,26.1,22.3,17.1,38.2
6.8,4.9,52641,3.366,21.038,33.1,42.496,18.9,17,61.2
6.4,5.8,54151,8.921,39.949,32.261,18.868,25.1,21.1,36.7
6.9,6.1,40679,9.826,29.518,33.637,27.019,22.3,17.9,43.1
7.7,6.8,43285,11.209,32.097,32.912,23.782,20,16.2,43.5
7.5,4.6,49129,19.019,31.751,33.126,16.104,27.5,23.6,36.5
6.9,7.6,36773,14.205,28.434,40.249,17.112,27.8,20.7,39.8
6.7,5.8,66813,2.206,18.155,25.146,54.492,18.4,14.9,52.5
6.2,4.6,68535,3.701,26.029,39.792,30.479,19.3,15.9,48.4
8.3,3.3,49046,10.906,32.356,36.343,20.395,25,18.7,42.1
4.9,4.9,74576,4.591,13.764,21.21,60.435,15.4,10.4,43.3
8.4,4.7,40164,17.351,27.58,39.675,15.394,27.2,21.7,37.4
8.7,7.3,44644,11.754,29.28,37.726,21.239,27.1,21.5,38.8
5.5,5.9,58980,8.167,33.584,36.4,21.849,23.8,16.8,36.8
6.4,9.2,41128,16.624,27.408,33.402,22.567,22.7,17.2,40.6
3.8,4.2,71322,3.458,21.597,25.532,49.413,13.6,12,39.9
7.6,8.7,33973,19.169,26.281,29.081,25.469,21.6,17.2,45.2
6.6,5.2,44652,4.595,32.604,34.354,28.446,20.3,17.7,45.3
5.1,4.7,67251,6.833,14.828,23.274,55.064,18.3,14.2,40.1
8.4,4.6,42518,8.818,33.804,37.566,19.812,21.4,20.2,49.3
4.2,3.4,70265,5.344,16.998,27.74,49.918,14.9,9.8,36.6
6.9,5.9,63966,5.64,25.37,36.416,32.575,21.6,18.3,48.8
6.8,3.2,46304,8.691,34.112,41.206,15.992,23.3,21.1,44.1
6.6,4.5,63609,12.995,26.954,33.29,26.762,26.4,17.8,33.7
6.7,3.3,48963,12.907,33.098,32.604,21.391,25.7,22.2,36
7.6,6.2,89954,10.104,22.359,21.175,46.362,21.4,18.9,39.6
9.5,6.9,69341,10.736,27.182,25.215,36.866,26.3,21.2,40
7.6,5.9,76323,8.297,29.5,28.186,34.017,25,21.2,45.4
7.3,5.6,80190,6.153,27.194,25.724,40.928,24.1,18.5,43.9
9,7.2,66012,10.503,30.34,24.869,34.288,27,21,39.6
8.8,6.8,70258,8.433,30.845,28.306,32.416,28.7,20.7,40.6
7.2,5.6,81369,6.214,27.072,27.854,38.86,23.9,18.4,38.3
10.3,7.3,60869,11.925,33.289,30.929,23.857,29.2,23.6,40.2
13.7,6.4,53994,13.104,33.572,30.203,23.122,33.6,30.3,36.8
9.8,5.5,67246,9.539,28.9,26.131,35.429,29.2,24.5,37.3
13.5,5.8,56618,13.792,34.689,27.633,23.885,31.6,27,46.5
8,7.8,74093,10.045,18.006,16.588,55.36,22.8,17.4,33.7
8,5.2,45294,7.468,21.926,29.091,41.515,25.8,20.4,30.5
12.7,6.4,51904,17.871,41.526,27.839,12.764,34.4,35.6,36.3
10.9,6.3,48843,11.32,30.576,35.57,22.534,30.1,26.7,39.7
13.5,5.6,43058,23.213,34.765,30.242,11.779,35.6,33.2,40
12.2,7,51214,8.824,28.859,34.589,27.729,26.9,25.5,46.3
9.6,5.9,54055,11.689,27.297,29.998,31.016,24.6,24.1,39.8
15.2,6.9,36708,23.13,39.852,26.542,10.476,38.9,33.2,39.1
